993, -5981.439900000001, -1002.8132, -0.8786999999995686
989, -6050.2193000000025, -999.9637, -2.3902000000000334
980, -6095.0218000000095, -1004.8665, 2.384900000001042
921, -5872.071400000008, -1004.8231, 9.169599999999619
883, -6072.412999999999, -1004.3402, -1.0062000000000335
949, -6211.149600000001, -999.5438, 35.164399999999965
882, -6074.056899999998, -1000.0387, 2.7515000000002194
892, -6011.888800000002, -1005.0855, 15.671400000000219
935, -6281.210000000003, -1000.0, 58.174500000000215
929, -6329.870899999997, -1000.0, 14.299600000001043
919, -6402.473599999999, -1000.0236, -2.070199999999557
860, -6183.614800000001, -1004.8057, 2.0751999999996205
806, -5944.872300000003, -1000.0, 6.974899999999968
854, -6073.425600000012, -999.882, 54.33809999999997
854, -6214.639799999999, -1000.2808, -0.797200000000033
897, -6444.920499999996, -999.6077, 121.24829999999997
882, -6569.359899999999, -1004.5718, 36.78329999999996
878, -6545.491899999997, -1000.2951, 27.11469999999997
1063, -8217.4512, -1003.1416, 87.45529999999997
1019, -7960.715600000009, -999.8064, 57.894299999999966
834, -6204.839200000002, -1000.0, 180.65019999999996
870, -6605.094399999997, -1004.995, 82.40279999999997
860, -6640.260299999997, -1004.9161, 151.25760000000022
747, -6242.588299999991, -999.9011, -4.173900000001202
1005, -5335.744299999994, -1000.0014, 2495.000400000001
832, -6757.037700000004, -1002.5987, 7.045900000000218
824, -6834.408900000001, -1004.7253, 11.184599999999968
821, -6898.225200000008, -1000.0001, -2.850900000000123
770, -6603.699999999995, -999.9727, 106.13800000000022
830, -6849.776499999991, -1004.9521, 9.444699999999623
818, -6794.8881999999885, -1000.0, 84.81040000000104
825, -6654.962999999998, -1004.796, 82.57790000000045
811, -6905.306399999986, -999.0739, 87.24050000000022
822, -6883.81339999999, -1004.8185, 3.1359999999999673
820, -6830.141300000003, -999.7547, 71.58280000000022
799, -7001.099799999993, -1004.6217, 1.0307000000002189
801, -6748.639499999994, -1000.0, 303.71809999999994
766, -6634.8075, -1000.0, 2.7189999999999674
811, -6926.412399999989, -1000.1248, 11.917899999999968
1020, -8394.965400000001, -998.9492, 193.39259999999996
807, -6914.772299999999, -999.5473, 41.892900000000225
753, -6663.271899999993, -1000.0, 4.397500000000219
802, -6977.030200000002, -1004.3117, 16.065699999999968
795, -7013.2604, -1000.0, 18.315899999999967
927, -8416.771800000002, -999.7697, 13.028100000000219
811, -6879.656199999996, -1028.4258, 95.83240000000022
995, -8563.400699999982, -1004.5465, 19.38800000000022
802, -6987.668800000021, -1004.9299, -3.2894000000000148
756, -7214.284599999995, -1004.8623, -1.1279999999997807
795, -6980.866199999997, -1000.6736, 20.84809999999997
795, -6993.567199999986, -1004.9732, 29.529200000000223
795, -7006.072400000007, -1000.0463, 48.77009999999997
789, -7056.362300000005, -1000.0, -3.292199999999781
763, -6626.904799999997, -1004.6623, 10.618299999999966
760, -6640.0095999999985, -1001.8513, 7.059799999999965
814, -6889.385499999998, -1029.9896, 90.31439999999998
812, -6919.770000000013, -1027.9471, 36.011999999999624
804, -6844.485199999986, -1029.8965, 5.053400000000218
809, -6886.675600000004, -1029.1255, 51.98170000000022
806, -6951.473400000001, -1024.5651, 18.18650000000022
1467, -11336.329200000007, -1013.9916, 3.653199999999968
783, -6569.678200000006, -1004.2698, 17.595399999999966
820, -6842.561699999998, -1029.9845, 49.39609999999996
806, -6928.275200000008, -1024.3997, 101.16659999999997
996, -5868.658099999988, -1029.5487, 2495.000499999999
799, -6918.173500000006, -999.6936000000001, 31.580099999999966
801, -6771.512200000007, -1004.8602, 172.9017999999996
747, -6742.8534999999865, -1003.0849, 19.68360000000022
793, -7034.716399999994, -1004.3117, -3.349600000000033
711, -6386.736199999998, -1003.0826, 14.426599999999969
756, -6671.1771999999955, -999.7499, 69.99919999999997
803, -6983.758100000003, -1024.2926, 2.536999999999967
795, -7001.477500000005, -1034.3165, 15.28749999999997
789, -7020.6852000000035, -1024.9182, 27.11350000000104
699, -6469.913099999992, -1024.6916, 13.25180000000104
796, -7012.860699999979, -1024.9436, 11.50940000000104
740, -6672.260300000018, -1023.6542000000001, 169.51879999999997
786, -7054.312100000008, -1029.3261, 16.028299999999966
998, -5841.267400000014, -999.9277, 2494.9989
795, -7007.044500000001, -1000.0, 2.354900000000219
791, -7011.481800000006, -999.9232, 49.13490000000023
790, -6974.811799999994, -1031.3132, 35.607100000000216
749, -6737.660699999991, -1020.0931, 3.3456000000002195
