,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cliprange,params_ent_coef,params_gamma,params_lambda,params_lr,params_n_steps,params_net_arch,params_noptepochs,state
29,29,8.309550337428265,2021-04-12 05:13:14.628472,2021-04-12 05:23:42.598195,0 days 00:10:27.969723,256,0.4,3.070152822578131e-08,0.95,0.9,0.26565177647528015,32,32x32,10,COMPLETE
30,30,8.79182029435228,2021-04-12 05:23:42.628922,2021-04-12 05:34:08.192713,0 days 00:10:25.563791,256,0.2,1.5308925786995668e-07,0.9,0.95,0.05924812055803457,32,8x8,5,COMPLETE
31,31,5.696505631060526,2021-04-12 05:34:08.221887,2021-04-12 05:44:31.758082,0 days 00:10:23.536195,128,0.1,4.0405391764886206e-07,0.9,0.9,0.009915030213050161,128,32x32,30,COMPLETE
32,32,5.910435458874605,2021-04-12 05:44:31.786743,2021-04-12 05:54:55.253265,0 days 00:10:23.466522,128,0.1,3.154865485206342e-07,0.9,0.9,0.00509758235336863,128,32x32,30,COMPLETE
33,33,7.7514346242866425,2021-04-12 05:54:55.282031,2021-04-12 06:05:18.651248,0 days 00:10:23.369217,128,0.1,1.6212022038703362e-06,0.9,0.9,0.0072346644342372165,128,32x32,30,COMPLETE
34,34,0.9788064786341184,2021-04-12 06:05:18.677352,2021-04-12 06:15:46.314092,0 days 00:10:27.636740,64,0.1,4.9317336426876785e-06,0.99,0.92,0.016861663224672564,64,4x4,30,COMPLETE
35,35,10.065831929994378,2021-04-12 06:15:46.341401,2021-04-12 06:26:08.510553,0 days 00:10:22.169152,64,0.1,2.5194653873460337e-05,0.99,0.92,0.02350037568889833,64,4x4,10,COMPLETE
36,36,10.655760479260358,2021-04-12 06:26:08.538880,2021-04-12 06:36:36.377760,0 days 00:10:27.838880,64,0.3,2.5478373720733522e-06,0.99,0.92,0.002780872937085341,64,4x4,30,COMPLETE
37,37,,2021-04-12 06:36:36.409262,,,64,0.1,3.8461433505564e-06,0.99,0.92,0.04934368317757129,64,4x4,50,RUNNING
38,38,0.043675446759104196,2021-04-12 11:42:10.402502,2021-04-12 11:52:46.522925,0 days 00:10:36.120423,64,0.1,0.0017920617713172676,0.99,0.92,0.015307134685193624,64,4x4,50,COMPLETE
