,number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_lr,params_lr_schedule,params_n_steps,params_net_arch,params_vf_coef,state
29,29,3.5865377781490215,2021-04-16 11:05:22.220465,2021-04-16 11:25:14.444569,0 days 00:19:52.224104,0.023765457562005626,0.98,0.08510809571928861,constant,32,8x8,0.198858338621847,COMPLETE
30,30,3.9350373415163005,2021-04-16 11:25:14.473083,2021-04-16 11:44:25.285455,0 days 00:19:10.812372,0.004160718968991811,0.999,0.0010216149622748946,linear,256,4x4,0.8565659756124736,COMPLETE
31,31,4.0589574618639315,2021-04-16 11:44:25.314875,2021-04-16 12:03:38.221436,0 days 00:19:12.906561,5.239186730815575e-08,0.99,0.9402973817006992,linear,32,32x32,0.4044144474015371,COMPLETE
32,32,2.7672175533885204,2021-04-16 12:03:38.258689,2021-04-16 12:25:00.892766,0 days 00:21:22.634077,9.239745631910495e-07,0.99,0.30342948886057514,linear,32,32x32,0.32324539320276646,COMPLETE
33,33,3.6869975630056304,2021-04-16 12:25:00.921751,2021-04-16 12:44:53.410095,0 days 00:19:52.488344,2.0338100029807683e-05,0.99,0.4360419925033202,linear,32,32x32,0.2490441532737727,COMPLETE
34,34,3.403127809470356,2021-04-16 12:44:53.438638,2021-04-16 13:05:50.685924,0 days 00:20:57.247286,9.456336225044389e-07,0.99,0.053509279036936856,linear,32,32x32,0.30761880665482527,COMPLETE
35,35,4.019544284909949,2021-04-16 13:05:50.714090,2021-04-16 13:24:09.969661,0 days 00:18:19.255571,0.0006758377156178626,0.9999,0.022298603748960987,linear,1024,32x32,0.15597660314411302,COMPLETE
36,36,,2021-04-16 13:24:09.997719,2021-04-16 13:28:59.389319,0 days 00:04:49.391600,1.5194095395596736e-06,0.9,0.46635554614917074,linear,128,32x32,0.05367657321971367,FAIL
37,37,2.452235673971083,2021-04-16 14:26:37.989524,2021-04-16 14:46:38.033798,0 days 00:20:00.044274,1.311053175865557e-06,0.9,0.6079387870199647,linear,32,32x32,0.06723047701471149,COMPLETE
38,38,2.421912117506537,2021-04-16 14:46:38.085459,2021-04-16 15:06:01.390980,0 days 00:19:23.305521,1.1336896392651193e-07,0.95,0.2897853086669377,linear,32,32x32,0.04701346746901086,COMPLETE
39,39,3.5769507562531415,2021-04-16 15:06:01.419751,2021-04-16 15:25:00.977585,0 days 00:18:59.557834,1.2141326655840934e-07,0.9,0.4620378384575975,linear,32,32x32,0.047003672367323904,COMPLETE
40,40,3.4928144854270493,2021-04-16 15:25:01.011379,2021-04-16 15:46:10.384883,0 days 00:21:09.373504,1.813411084335234e-06,0.98,0.5128661974026121,linear,32,32x32,0.002725486655260956,COMPLETE
41,41,3.7190247670947905,2021-04-16 15:46:10.418964,2021-04-16 16:06:39.444266,0 days 00:20:29.025302,4.6375903746485845e-08,0.95,0.11606644257398009,constant,32,32x32,0.06736228161287794,COMPLETE
42,42,4.027365456739657,2021-04-16 16:06:39.475314,2021-04-16 16:25:26.159256,0 days 00:18:46.683942,5.471055316379153e-07,0.95,0.23492750059148895,linear,32,32x32,0.16089937949591776,COMPLETE
43,43,3.1824134394695793,2021-04-16 16:25:26.188374,2021-04-16 16:45:05.342085,0 days 00:19:39.153711,2.1515406672297187e-07,0.95,0.9831805878822387,linear,32,32x32,0.12776661127954217,COMPLETE
44,44,3.978607472054107,2021-04-16 16:45:05.369805,2021-04-16 17:04:42.453267,0 days 00:19:37.083462,1.01128566923811e-08,0.999,0.3333358654124296,linear,128,32x32,0.035676014445346856,COMPLETE
45,45,3.6657001666004634,2021-04-16 17:04:42.484037,2021-04-16 17:21:28.322479,0 days 00:16:45.838442,5.022107735009732e-08,0.95,0.7426016679567856,linear,2048,32x32,0.20075849837546123,COMPLETE
46,46,3.7388676521108772,2021-04-16 17:21:28.352011,2021-04-16 17:43:54.190373,0 days 00:22:25.838362,2.252545876921163e-06,0.95,0.07257844697878041,linear,16,32x32,0.11864684414683699,COMPLETE
47,47,3.6173965612197323,2021-04-16 17:43:54.221124,2021-04-16 18:01:59.185443,0 days 00:18:04.964319,2.9372818741459437e-07,0.999,0.14564380624017376,linear,512,32x32,0.0023610266161130933,COMPLETE
48,48,3.3256511309135477,2021-04-16 18:01:59.240172,2021-04-16 18:21:36.144422,0 days 00:19:36.904250,2.12276378320953e-08,0.99,0.019267750209843934,linear,64,32x32,0.22383999656927978,COMPLETE
49,49,2.493724857651329,2021-04-16 18:21:36.173222,2021-04-16 18:42:06.448646,0 days 00:20:30.275424,9.51141469557165e-08,0.995,0.1987747219757818,linear,32,16x16,0.3187225834573565,COMPLETE
50,50,2.974749672707672,2021-04-16 18:42:06.478725,2021-04-16 19:04:48.605620,0 days 00:22:42.126895,1.0363357450177065e-07,0.995,0.6920939625316987,linear,32,16x16,0.560884754099597,COMPLETE
51,51,3.4222277708192905,2021-04-16 19:04:48.636036,2021-04-16 19:26:13.909077,0 days 00:21:25.273041,9.244227941680876e-08,0.995,0.6355840165870337,linear,32,16x16,0.5242619021993377,COMPLETE
52,52,4.769144525685794,2021-04-16 19:26:13.936712,2021-04-16 19:45:01.461326,0 days 00:18:47.524614,2.136250397529814e-08,0.995,0.2848979095758657,linear,32,16x16,0.5351702621598284,COMPLETE
53,53,3.294484892007772,2021-04-16 19:45:01.492182,2021-04-16 20:05:03.047848,0 days 00:20:01.555666,5.442915392292812e-07,0.9999,0.1948503568477269,linear,32,16x16,0.5675970877291883,COMPLETE
54,54,3.629153984187414,2021-04-16 20:05:03.086296,2021-04-16 20:26:41.275930,0 days 00:21:38.189634,1.0693854711518974e-07,0.995,0.9837714563553512,linear,32,16x16,0.47315592799244544,COMPLETE
55,55,3.75538976463479,2021-04-16 20:26:41.305214,2021-04-16 20:48:14.236026,0 days 00:21:32.930812,2.9349597225557282e-06,0.995,0.35199528773330496,linear,32,16x16,0.607075954777526,COMPLETE
56,56,3.251593703494714,2021-04-16 20:48:14.266121,2021-04-16 21:07:40.289098,0 days 00:19:26.022977,1.8198307213860298e-07,0.995,0.1184765507851058,linear,8,16x16,0.36294683196261895,COMPLETE
57,57,4.291725823079887,2021-04-16 21:07:40.319885,2021-04-16 21:27:19.198557,0 days 00:19:38.878672,4.832607514173772e-07,0.995,0.04003884083659302,linear,32,16x16,0.6652520828695856,COMPLETE
58,58,3.7110660270452085,2021-04-16 21:27:19.236682,2021-04-16 21:46:07.486299,0 days 00:18:48.249617,8.930992458913281e-07,0.995,0.0004238830782921239,linear,16,16x16,0.4525403683805451,COMPLETE
59,59,4.25431845301353,2021-04-16 21:46:07.517829,2021-04-16 22:06:23.394070,0 days 00:20:15.876241,2.6220651686214033e-08,0.9,0.0002391700649309577,linear,32,4x4,0.30515799210898087,COMPLETE
60,60,,2021-04-16 22:06:23.424991,,,3.61827345555142e-06,0.999,0.17139513802595543,constant,32,16x16,0.5690297443583221,RUNNING
